total_land,lifecycl,members,workers,nonwork,commun,hhnum,surveyyr
3,3,6,1,5,49,62,1996
8,5,3,2,1,122,108,2008
3,3,10,2,8,49,22,1996
0.5,2,5,1,4,49,18,1996
10,3,4,2,2,120,52,2007
1,3,4,2,2,122,75,2008
0.5,3,4,2,2,108,46,2005
2,3,8,2,6,49,16,1996
1,3,5,1,4,50,80,1996
2,5,2,1,1,109,28,2005
2,5,2,1,1,50,7,1996
2,5,4,3,1,109,12,2005
1,1,2,1,1,49,82,1996
1,3,5,4,1,10,97,1990
1.5,5,9,3,7,122,73,2008
3,4,3,2,1,10,101,1990
2,3,5,1,4,49,100,1996
2,3,8,1,7,49,86,1996
3,3,7,2,5,49,68,1996
0.75,3,4,3,1,108,5,2005
1,1,2,1,1,21,29,1982
4,3,6,2,4,49,88,1996
1.5,3,3,1,2,50,75,1996
2,5,4,2,2,21,89,1982
2,2,6,1,5,49,93,1996
1,2,2,1,1,49,74,1996
5,3,6,3,3,49,84,1996
2,3,8,1,7,49,32,1996
6,5,4,1,3,146,83,2014
0.5,3,8,3,5,49,17,1996
1,5,4,2,2,21,41,1982
1,2,6,1,5,49,47,1996
8,3,8,1,7,50,85,1996
1,5,3,2,1,20,79,1982
6,3,6,3,3,21,85,1982
5,5,3,2,1,120,26,2007
2,3,9,2,7,50,44,1996
1,2,4,2,2,122,186,2008
2,2,5,1,4,49,78,1996
6,5,2,2,0,21,37,1982
3,3,6,3,3,49,92,1996
8,2,5,1,4,25,11,1992
6,5,6,3,3,109,32,2005
6,5,6,4,2,122,42,2008
3,3,7,6,1,10,130,1990
2,3,6,3,3,21,39,1982
1,3,8,1,7,49,96,1996
0.75,3,4,1,3,108,24,2005
0.5,3,8,3,5,49,56,1996
3,2,7,2,5,49,60,1996
1,3,5,3,2,108,53,2005
8,5,6,3,3,20,106,1982
3,5,7,2,5,50,10,1996
2,3,10,1,9,49,40,1996
2,3,4,2,2,50,16,1996
0.75,3,5,2,3,108,18,2005
5,5,2,1,1,146,55,2014
6,3,7,1,6,20,26,1982
4,5,2,1,1,49,39,1996
2,3,8,2,6,49,55,1996
4,3,10,4,6,21,42,1982
6,3,4,2,2,20,46,1982
4,5,4,2,2,21,24,1982
1.75,4,1,1,0,109,20,2005
3,2,5,1,4,50,21,1996
1,3,3,1,2,120,119,2007
3,5,6,2,4,146,12,2014
1,3,8,1,7,50,90,1996
5,5,2,1,1,170,15,2018
2,2,6,1,5,49,58,1996
2,3,6,1,5,49,46,1996
5,2,5,2,3,20,77,1982
4,3,2,1,1,49,70,1996
0.5,3,2,1,1,108,23,2005
1.5,3,5,2,3,122,88,2008
2.5,5,3,1,2,50,93,1996
2,1,2,1,1,21,17,1982
3,3,4,1,3,50,15,1996
2,3,6,1,5,49,79,1996
3,2,5,1,4,50,14,1996
3,3,9,5,4,20,63,1982
3,5,3,1,2,49,33,1996
3.5,5,2,1,1,109,46,2005
2,2,5,1,4,50,74,1996
4,3,9,2,7,49,30,1996
4,5,6,5,1,122,6,2008
2,5,2,1,1,10,119,1990
1,3,10,7,3,20,88,1982
4,3,7,2,5,49,53,1996
0.25,3,5,4,1,109,1007,2005
7,3,8,1,7,49,54,1996
2,3,8,3,6,49,52,1996
0.5,5,4,2,2,108,41,2005
2.5,3,5,1,4,122,64,2008
1,4,4,2,2,50,3,1996
1,3,6,1,5,49,90,1996
9,3,5,2,3,120,129,2007
0.33,3,5,4,1,108,55,2005
5,3,4,0,4,169,106,2018
2,3,7,3,5,49,13,1996
0.5,3,4,3,1,120,35,2007
3,5,4,3,1,50,59,1996
4,3,6,2,4,10,103,1990
2,5,2,1,1,49,94,1996
10,3,7,1,6,10,23,1990
7,5,2,0,2,10,38,1990
9,5,3,2,1,20,16,1982
6,3,10,2,8,21,91,1982
2,5,2,1,1,49,65,1996
3,3,6,1,5,50,60,1996
0.33,2,6,1,5,108,61,2005
0.5,3,7,2,6,108,42,2005
3,3,5,3,2,122,79,2008
2,2,4,1,3,49,99,1996
2,5,2,2,0,50,81,1996
0.5,2,4,1,3,108,68,2005
7.5,2,3,1,2,108,30,2005
5,5,3,2,1,120,95,2007
2,1,2,1,1,50,43,1996
1,3,11,2,9,20,27,1982
4,1,1,1,0,21,46,1982
7,3,4,3,2,122,172,2008
0.5,2,4,1,4,108,43,2005
5,2,5,1,4,49,20,1996
2,2,7,1,6,108,29,2005
1,5,2,1,1,50,64,1996
5,5,7,7,2,122,124,2008
1,5,2,2,0,21,6,1982
0.5,5,6,1,5,108,22,2005
1,3,15,7,8,20,5,1982
6,2,5,1,4,49,61,1996
4,3,9,4,5,21,7,1982
2,3,6,1,5,49,67,1996
2,3,8,1,7,50,63,1996
1,3,7,5,2,120,25,2007
2.5,2,4,1,3,50,57,1996
1,2,5,1,4,49,41,1996
4,3,5,2,3,122,129,2008
2,3,9,2,7,21,47,1982
5,5,4,1,3,169,102,2018
2,1,4,1,3,169,19,2018
2,3,9,1,8,108,86,2005
1,3,10,8,2,120,137,2007
2,3,7,1,6,49,89,1996
3,3,6,2,4,49,31,1996
1,3,9,1,8,50,61,1996
0.5,5,3,1,2,108,25,2005
7,2,6,1,5,21,68,1982
2,5,2,0,2,10,122,1990
1.25,5,7,3,4,50,86,1996
0.5,2,4,1,3,50,67,1996
0.5,5,3,2,1,120,49,2007
1,3,7,1,6,50,70,1996
0.25,2,4,1,3,108,85,2005
2,3,5,1,4,109,49,2005
1.5,3,7,3,4,120,128,2007
8,3,5,3,2,10,140,1990
2,5,2,1,1,49,64,1996
2.25,3,6,1,5,109,48,2005
2,5,6,2,4,50,82,1996
2,2,5,2,3,50,56,1996
4,5,4,2,2,21,21,1982
2,5,4,3,1,120,31,2007
3,5,4,3,1,122,100,2008
2,2,4,1,3,49,49,1996
5,5,6,6,0,109,1001,2005
2,3,8,3,5,49,23,1996
2.5,5,4,4,0,109,44,2005
3,3,6,1,5,49,59,1996
3,2,6,1,5,49,48,1996
6,3,7,2,5,108,10,2005
6.25,3,6,1,5,109,10,2005
5,3,6,1,5,49,80,1996
1,3,7,3,4,120,14,2007
1,5,2,1,1,49,9,1996
2,3,7,1,6,49,57,1996
10,5,2,1,2,20,22,1982
8,3,6,3,5,25,8,1992
3,3,8,1,7,49,1,1996
2,3,3,1,2,49,34,1996
2,3,5,1,4,50,97,1996
0.75,4,7,3,4,108,72,2005
2,1,2,1,1,50,28,1996
1,2,3,1,2,50,23,1996
1,5,4,4,0,122,179,2008
1,5,2,2,0,109,65,2005
0.1,3,8,3,5,108,38,2005
1,3,3,3,0,50,96,1996
2,3,6,4,2,49,19,1996
2,3,7,2,6,50,46,1996
0.5,3,6,1,5,50,76,1996
2,2,3,2,1,49,98,1996
6,3,5,3,3,122,153,2008
4,3,6,2,4,49,42,1996
7,1,2,1,1,20,76,1982
4,5,4,2,2,169,72,2018
2,3,4,1,3,50,68,1996
0.75,5,2,1,1,109,47,2005
2,5,3,2,1,50,11,1996
3,3,9,2,7,21,74,1982
1.5,5,2,1,1,50,48,1996
0.5,3,5,1,4,108,54,2005
3,5,2,0,2,122,57,2008
0.5,2,4,1,3,122,81,2008
4,3,5,1,4,49,95,1996
0.1,5,4,2,2,108,76,2005
0.3,3,5,2,3,109,17,2005
2.5,3,6,2,4,108,74,2005
10,3,4,1,3,21,23,1982
3,5,3,2,1,108,2,2005
2,3,7,1,6,49,75,1996
2,2,3,1,2,49,50,1996
2,3,8,3,5,49,63,1996
5.75,3,5,1,4,108,83,2005
1,3,8,3,5,20,18,1982
4,3,6,2,4,50,20,1996
3,5,3,2,1,169,17,2018
1,3,5,1,4,49,85,1996
1,3,6,2,4,50,42,1996
6,3,14,1,13,20,81,1982
4,3,2,1,1,49,69,1996
4,4,3,1,2,109,22,2005
4,3,5,1,4,122,92,2008
2,5,2,1,1,50,58,1996
1,2,7,1,6,50,98,1996
